-8.264	-207.290
1.121	-171.762
-32.113	-224.236
-66.518	-202.276
-123.624	-252.946
-102.088	-283.120
-18.232	-295.428
-89.592	-402.732
-93.527	-535.026
32.357	-371.056
88.095	-511.872
84.012	-352.078
140.019	-368.267
236.792	-393.460
280.669	-285.792
210.644	-219.142
288.159	-185.873
199.624	-112.263
105.727	-245.870
170.787	-285.223
97.016	-299.638
-295.966	-327.241
-373.002	0.544
-322.306	-142.185
-351.046	150.088
-181.978	225.617
-99.004	17.045
40.475	-23.112
-51.179	-87.170
-88.762	-124.111
171.281	113.949
246.567	93.756
461.275	175.505
580.678	863.959
357.811	-28.308
386.152	-180.894
388.257	-290.759
380.286	-459.309
213.308	-569.080
253.748	-592.147
-26.858	-712.219
-287.545	-661.678
-361.714	-460.318
-629.853	-128.326
-896.164	600.497
-1832.860	266.750
-1467.341	1751.923
-578.296	-517.297
-2805.653	2686.863
-3605.957	436.462
-2052.336	-843.715
-850.255	-769.359
-593.192	-1148.652
9.365	-1304.462
871.980	-499.812
1201.780	96.492
1598.403	466.668
294.645	3259.915
2805.764	2686.873
3686.427	758.895
3419.683	-1840.478
-16.409	-2323.779
-1440.632	-2503.773
-3419.585	-1840.480

